currency,geo\time	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
NAC,RO	2080	1900	1900	1450	1250	1250	1050	1050	975	900	850	800	700	700	700	670	670	600	600	600	600	500	500	390	390	330	330	310	310	280	280	250	250	175	140	140	100	70	45	45	35
NAC,RS	36408.27	33355.21	33813.12	30586.31	30612.84	28378.89	28403.28	28403.28	28430.53	26941.23	26975.75	26975.75	27205.93	27205.93	24066.76	24066.76	22458.66	21217.57	21323.02	20578.37	20643.08	18409.13	16510.7	14897.29	12796.01	12519.82	11753.3	10475.77	9837	8942.73	7920.7	6740.32	6241.03	5616.93	4608.38	2932	401.72	471.38	387.21	387.21	387.21
NAC,SE	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,SI	886.63	842.79	842.79	804.96	804.96	790.73	790.73	790.73	790.73	789.15	789.15	783.66	783.66	763.06	763.06	748.1	748.1	734.15	597.43	589.19	589.19	566.5	538.53	521.8	521.8	511.6	511.6	490.32	490.32	465.21	465.21	432.49	432.49	395.07	395.07	352.27	352.27	321.36	309.89	284.69	284.69
NAC,SK	520	480	480	435	435	405	405	380	380	352	352	337.7	337.7	327	327	317	317	307.7	307.7	295.5	295.5	268.87	268.87	252.27	252.27	229.04	229.04	215.76	215.76	201.82	201.82	184.89	184.89	163.31	163.31	146.05	146.05	132.78	132.78	119.5	99.58
NAC,TR	2558.4	2029.5	2029.5	1777.5	1777.5	1647	1647	1273.5	1201.5	1134	1071	1021.5	978.6	940.5	886.5	837	796.5	760.5	729	693.4	666	638.7	608.4	585	562.5	531	531	488.7	488.7	444.15	423	306	306	250.88	222	167.9	139.95	118.8	109.8	93.6	78.08
NAC,UK	1300	1300	1243	1243	1193	1193	1110	1074	1074	1043	1043	1020	1020	1004	1004	978	978	956	956	948	948	911	911	883	883	831	831	800	800	743	743	692	692	675	675	610	610	592	592	592	: z
NAC,US	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1256.67	1135.33	1135.33	1014	1014	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67	892.67
PPS,AL	388.82 e	358.91 e	358.91 e	358.91	329	326.17	326.17	346.84	346.84	326.58	326.58	325.5	310.71	319.11	303.91	290.42	275.9	274.02	259.6	254.36	240.23	249.93	235.23	213.63	213.63	215.47	181.61	184.89	169.22	167.86	156.36	154.62	144.48	146.05	117.77	119.04	109.93	111.38	101.51	99.17	90.15
PPS,AT	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,BE	1438.47 e	1410.29 e	1410.29 e	1410.29	1382.62	1408.21	1380.53	1437.13	1437.13	1406.55	1406.55	1381.58	1381.58	1364.63	1337.86	1323.01	1297.08	1270.26	1270.26	1258.4	1258.4	1234.78	1210.56	1220.15	1197.33	1177.95	1177.95	1163.53	1163.53	1134.94	1134.94	1133.74	1111.48	1147.72	1125.24	1111.76	1089.96	1081.42	1081.42	1032.55	1012.34
PPS,BG	577.250 e	525.710 e	525.710 e	474.17	474.17	450.22	450.22	415.75	393.87	366.94	366.94	320.87	320.87	295.7	275.31	240.33	240.33	235.88	235.88	231.32	231.32	224.38	224.38	200.83	200.83	186.81	186.81	188.05	188.05	153.8	153.8	147.09	147.09	134.97	134.97	114.94	106.83	107.71	96.22	97.1	88.4
PPS,CH	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,CY	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
