purchase,unit,geo\time	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 
DW_EXST,INX_Q,NL	124.91 	121.59 	119.44 	116.32 	114.39 	111.72 	109.60 	107.48 	106.35 	103.72 	102.65 	101.31 	100.69 	99.37 	98.63 	97.89 	97.84 	96.92 	96.33 	95.80 	96.14 	95.77 	97.75 	100.05 	100.74 	104.87 	106.91 	108.29 	110.20 	111.03 	111.51 	112.12 	113.42 	113.32 	113.16 	113.35 	114.29 	115.86 	118.89 	119.68 	120.60 	119.26 	119.16 	117.73 	117.33 	115.57 	114.19 	112.94 	112.42 	111.00 	109.68 	108.06 	107.44 	106.14 	104.85 
DW_EXST,INX_Q,NO	116.86 	117.64 	113.52 	111.25 	113.40 	116.73 	116.02 	111.65 	110.69 	107.45 	103.22 	99.60 	101.08 	100.98 	98.35 	94.45 	94.56 	93.94 	90.69 	88.68 	91.45 	92.77 	90.96 	88.25 	88.66 	87.51 	85.01 	82.14 	82.47 	82.20 	79.98 	76.08 	76.13 	76.51 	73.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,PL	116.66 	114.23 	111.02 	109.24 	108.01 	106.96 	104.30 	104.40 	104.01 	102.14 	99.64 	99.97 	100.49 	100.42 	99.13 	99.21 	99.46 	100.07 	98.64 	98.66 	98.52 	97.70 	97.38 	99.44 	101.26 	103.01 	103.73 	105.79 	107.11 	108.73 	107.55 	107.34 	108.40 	108.73 	106.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,PT	134.11 	132.90 	129.18 	124.72 	122.82 	118.03 	114.34 	111.53 	110.18 	108.34 	104.66 	102.14 	100.96 	99.89 	97.01 	97.19 	95.95 	96.60 	95.02 	94.55 	92.01 	91.51 	90.72 	93.94 	92.92 	94.40 	95.91 	97.29 	101.38 	104.00 	106.52 	107.68 	109.38 	110.72 	110.42 	110.04 	109.17 	108.58 	106.91 	107.53 	110.08 	111.53 	110.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,RO	120.62 	121.84 	117.94 	115.39 	113.88 	115.10 	110.53 	107.93 	106.12 	106.48 	103.48 	100.48 	98.65 	99.89 	100.98 	97.20 	95.57 	96.35 	97.74 	97.10 	97.67 	100.05 	100.58 	96.55 	96.53 	100.45 	101.07 	97.63 	102.16 	110.38 	111.80 	117.36 	120.79 	124.86 	126.44 	135.20 	129.12 	130.02 	135.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,SE	113.22 	112.48 	112.19 	113.82 	118.28 	117.01 	114.61 	111.64 	109.90 	107.06 	107.24 	104.53 	102.56 	98.35 	94.56 	90.53 	88.78 	85.59 	83.44 	80.96 	79.76 	78.17 	76.28 	74.58 	74.23 	73.71 	72.81 	71.56 	73.63 	73.96 	73.78 	73.63 	72.30 	71.33 	70.48 	68.93 	67.17 	65.05 	62.54 	61.09 	65.64 	66.29 	64.78 	64.56 	67.04 	64.55 	60.47 	57.85 	57.66 	56.05 	54.09 	52.10 	50.49 	48.13 	46.26 
DW_EXST,INX_Q,SI	129.67 	124.54 	120.35 	115.66 	112.51 	111.54 	107.85 	105.54 	104.55 	103.62 	101.38 	98.10 	99.32 	102.20 	100.37 	98.87 	98.58 	99.72 	100.60 	103.84 	105.62 	109.30 	108.61 	109.37 	111.96 	116.28 	113.59 	116.45 	119.34 	120.47 	121.58 	117.24 	117.96 	118.82 	120.67 	117.75 	114.44 	114.66 	118.16 	122.14 	129.02 	125.87 	126.36 	123.93 	121.60 	119.13 	115.84 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,SK	121.88 	121.59 	118.89 	116.06 	114.94 	113.44 	106.93 	110.48 	108.07 	106.02 	103.21 	101.32 	100.28 	100.04 	98.37 	95.39 	94.06 	93.77 	92.65 	92.78 	92.51 	93.02 	92.61 	90.16 	91.88 	91.79 	91.70 	91.60 	93.52 	94.32 	94.51 	93.99 	93.82 	94.48 	94.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,UK	116.72 p	114.37 	112.74 	113.29 	113.40 	110.85 	108.26 	108.39 	108.57 	106.23 	104.25 	103.05 	101.91 	98.62 	96.43 	96.81 	96.71 	93.53 	90.29 	89.10 	88.75 	86.57 	84.90 	85.31 	86.39 	85.27 	83.72 	84.60 	85.82 	84.72 	84.02 	85.80 	87.85 	86.58 	84.97 	84.56 	82.84 	79.58 	78.38 	82.89 	88.78 	92.22 	92.78 	95.62 	95.67 	92.97 	89.56 	88.26 	86.61 	83.83 	80.73 	80.13 	80.08 	78.12 	75.92 
DW_EXST,RCH_A,AT	7.0 	3.7 	4.2 	6.2 	3.9 	4.7 	6.0 	7.8 	5.4 	10.4 	14.7 	6.0 	10.2 	4.1 	-0.4 	4.8 	-0.2 	4.8 	3.6 	3.0 	6.6 	5.7 	6.3 	7.0 	7.8 	6.9 	8.5 	6.3 	5.5 	6.6 	6.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
